"Notes","Leading Cancer Sites","Leading Cancer Sites Code","State","State Code","Age Group","Age Group Code",Deaths
,"Brain and Other Nervous System","31010-31040","Idaho","16","55-59 years","55-59",190
,"Brain and Other Nervous System","31010-31040","Idaho","16","60-64 years ","60-64",261
,"Brain and Other Nervous System","31010-31040","Idaho","16","65-69 years","65-69",256
,"Brain and Other Nervous System","31010-31040","Idaho","16","70-74 years","70-74",227
,"Brain and Other Nervous System","31010-31040","Idaho","16","75-79 years","75-79",211
,"Brain and Other Nervous System","31010-31040","Idaho","16","80-84 years","80-84",124
,"Brain and Other Nervous System","31010-31040","Idaho","16","85+ years","85+",96
,"Brain and Other Nervous System","31010-31040","Illinois","17","1-4 years","1-4",75
,"Brain and Other Nervous System","31010-31040","Illinois","17","5-9 years","5-9",147
,"Brain and Other Nervous System","31010-31040","Illinois","17","10-14 years","10-14",109
,"Brain and Other Nervous System","31010-31040","Illinois","17","15-19 years","15-19",108
,"Brain and Other Nervous System","31010-31040","Illinois","17","20-24 years","20-24",116
,"Brain and Other Nervous System","31010-31040","Illinois","17","25-29 years","25-29",155
,"Brain and Other Nervous System","31010-31040","Illinois","17","30-34 years","30-34",234
,"Brain and Other Nervous System","31010-31040","Illinois","17","35-39 years","35-39",312
,"Brain and Other Nervous System","31010-31040","Illinois","17","40-44 years","40-44",446
,"Brain and Other Nervous System","31010-31040","Illinois","17","45-49 years","45-49",714
,"Brain and Other Nervous System","31010-31040","Illinois","17","50-54 years","50-54",1041
,"Brain and Other Nervous System","31010-31040","Illinois","17","55-59 years","55-59",1344
,"Brain and Other Nervous System","31010-31040","Illinois","17","60-64 years ","60-64",1557
,"Brain and Other Nervous System","31010-31040","Illinois","17","65-69 years","65-69",1621
,"Brain and Other Nervous System","31010-31040","Illinois","17","70-74 years","70-74",1628
,"Brain and Other Nervous System","31010-31040","Illinois","17","75-79 years","75-79",1350
,"Brain and Other Nervous System","31010-31040","Illinois","17","80-84 years","80-84",1032
,"Brain and Other Nervous System","31010-31040","Illinois","17","85+ years","85+",869
,"Brain and Other Nervous System","31010-31040","Indiana","18","1-4 years","1-4",44
,"Brain and Other Nervous System","31010-31040","Indiana","18","5-9 years","5-9",97
,"Brain and Other Nervous System","31010-31040","Indiana","18","10-14 years","10-14",65
,"Brain and Other Nervous System","31010-31040","Indiana","18","15-19 years","15-19",55
,"Brain and Other Nervous System","31010-31040","Indiana","18","20-24 years","20-24",51
,"Brain and Other Nervous System","31010-31040","Indiana","18","25-29 years","25-29",86
,"Brain and Other Nervous System","31010-31040","Indiana","18","30-34 years","30-34",127
,"Brain and Other Nervous System","31010-31040","Indiana","18","35-39 years","35-39",201
,"Brain and Other Nervous System","31010-31040","Indiana","18","40-44 years","40-44",260
,"Brain and Other Nervous System","31010-31040","Indiana","18","45-49 years","45-49",431
,"Brain and Other Nervous System","31010-31040","Indiana","18","50-54 years","50-54",599
,"Brain and Other Nervous System","31010-31040","Indiana","18","55-59 years","55-59",753
,"Brain and Other Nervous System","31010-31040","Indiana","18","60-64 years ","60-64",901
,"Brain and Other Nervous System","31010-31040","Indiana","18","65-69 years","65-69",926
,"Brain and Other Nervous System","31010-31040","Indiana","18","70-74 years","70-74",966
,"Brain and Other Nervous System","31010-31040","Indiana","18","75-79 years","75-79",723
,"Brain and Other Nervous System","31010-31040","Indiana","18","80-84 years","80-84",595
,"Brain and Other Nervous System","31010-31040","Indiana","18","85+ years","85+",478
,"Brain and Other Nervous System","31010-31040","Iowa","19","1-4 years","1-4",26
,"Brain and Other Nervous System","31010-31040","Iowa","19","5-9 years","5-9",45
,"Brain and Other Nervous System","31010-31040","Iowa","19","10-14 years","10-14",38
,"Brain and Other Nervous System","31010-31040","Iowa","19","15-19 years","15-19",27
,"Brain and Other Nervous System","31010-31040","Iowa","19","20-24 years","20-24",38
,"Brain and Other Nervous System","31010-31040","Iowa","19","25-29 years","25-29",53
,"Brain and Other Nervous System","31010-31040","Iowa","19","30-34 years","30-34",71
,"Brain and Other Nervous System","31010-31040","Iowa","19","35-39 years","35-39",87
,"Brain and Other Nervous System","31010-31040","Iowa","19","40-44 years","40-44",154
,"Brain and Other Nervous System","31010-31040","Iowa","19","45-49 years","45-49",222
,"Brain and Other Nervous System","31010-31040","Iowa","19","50-54 years","50-54",283
,"Brain and Other Nervous System","31010-31040","Iowa","19","55-59 years","55-59",414
,"Brain and Other Nervous System","31010-31040","Iowa","19","60-64 years ","60-64",471
,"Brain and Other Nervous System","31010-31040","Iowa","19","65-69 years","65-69",491
,"Brain and Other Nervous System","31010-31040","Iowa","19","70-74 years","70-74",520
,"Brain and Other Nervous System","31010-31040","Iowa","19","75-79 years","75-79",477
,"Brain and Other Nervous System","31010-31040","Iowa","19","80-84 years","80-84",376
,"Brain and Other Nervous System","31010-31040","Iowa","19","85+ years","85+",292
,"Brain and Other Nervous System","31010-31040","Kansas","20","1-4 years","1-4",23
,"Brain and Other Nervous System","31010-31040","Kansas","20","5-9 years","5-9",47
,"Brain and Other Nervous System","31010-31040","Kansas","20","10-14 years","10-14",24
,"Brain and Other Nervous System","31010-31040","Kansas","20","15-19 years","15-19",27
,"Brain and Other Nervous System","31010-31040","Kansas","20","20-24 years","20-24",34
,"Brain and Other Nervous System","31010-31040","Kansas","20","25-29 years","25-29",43
,"Brain and Other Nervous System","31010-31040","Kansas","20","30-34 years","30-34",74
,"Brain and Other Nervous System","31010-31040","Kansas","20","35-39 years","35-39",98
,"Brain and Other Nervous System","31010-31040","Kansas","20","40-44 years","40-44",113
,"Brain and Other Nervous System","31010-31040","Kansas","20","45-49 years","45-49",192
,"Brain and Other Nervous System","31010-31040","Kansas","20","50-54 years","50-54",254
,"Brain and Other Nervous System","31010-31040","Kansas","20","55-59 years","55-59",369
,"Brain and Other Nervous System","31010-31040","Kansas","20","60-64 years ","60-64",444
,"Brain and Other Nervous System","31010-31040","Kansas","20","65-69 years","65-69",426
,"Brain and Other Nervous System","31010-31040","Kansas","20","70-74 years","70-74",426
,"Brain and Other Nervous System","31010-31040","Kansas","20","75-79 years","75-79",384
,"Brain and Other Nervous System","31010-31040","Kansas","20","80-84 years","80-84",309
,"Brain and Other Nervous System","31010-31040","Kansas","20","85+ years","85+",302
,"Brain and Other Nervous System","31010-31040","Kentucky","21","1-4 years","1-4",26
,"Brain and Other Nervous System","31010-31040","Kentucky","21","5-9 years","5-9",53
,"Brain and Other Nervous System","31010-31040","Kentucky","21","10-14 years","10-14",50
,"Brain and Other Nervous System","31010-31040","Kentucky","21","15-19 years","15-19",38
,"Brain and Other Nervous System","31010-31040","Kentucky","21","20-24 years","20-24",42
,"Brain and Other Nervous System","31010-31040","Kentucky","21","25-29 years","25-29",50
,"Brain and Other Nervous System","31010-31040","Kentucky","21","30-34 years","30-34",89
,"Brain and Other Nervous System","31010-31040","Kentucky","21","35-39 years","35-39",148
,"Brain and Other Nervous System","31010-31040","Kentucky","21","40-44 years","40-44",181
